"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"CD52",-1.38533726324169,1.38533726324169,0.184325339674274,0.184325339674274,0.737301358697097,0.737301358697096,-0.246017874607133,0.246017874607134,"ENSG00000169442","CD52"
"CD53",0.798289924566619,-0.798289924566619,0.436000384530219,0.436000384530219,0.827848831386492,0.827848831386492,0.284692247659604,-0.284692247659604,"ENSG00000143119","CD53"
"CD68",1.11697018326692,-1.11697018326692,0.279949961693919,0.279949961693919,0.792311212341281,0.792311212341281,0.118936959226634,-0.118936959226634,"ENSG00000129226","CD68"
"CD74",-1.12799898631352,1.12799898631352,0.275396891385383,0.275396891385383,0.786848261101095,0.786848261101095,-0.197266560455485,0.197266560455485,"ENSG00000019582","CD74"
"CFAP36",0.842989152469887,-0.842989152469887,0.411244297964331,0.411244297964331,0.81166637756118,0.81166637756118,0.077117828189602,-0.077117828189602,"ENSG00000163001","CFAP36"
"CHI3L1",-0.171491975472128,0.171491975472128,0.865914825491805,0.865914825491805,0.972560670263542,0.972560670263542,-0.0479379426463861,0.047937942646386,"ENSG00000133048","CHI3L1"
"CHST1",-0.6977353231965,0.6977353231965,0.495022677367592,0.495022677367592,0.839021487063715,0.839021487063716,-0.0675302223216247,0.0675302223216247,"ENSG00000175264","CHST1"
"CLDN11",0.979722926088114,-0.979722926088113,0.341318640466669,0.34131864046667,0.800139615780116,0.800139615780117,0.188479819718907,-0.188479819718907,"ENSG00000013297","CLDN11"
"CLDN5",-1.5767711221144,1.5767711221144,0.133756052562761,0.133756052562761,0.701756464676482,0.701756464676482,-0.207518266924525,0.207518266924525,"ENSG00000184113","CLDN5"
"CLDND1",0.881273235136502,-0.881273235136502,0.390780458520467,0.390780458520467,0.800139615780116,0.800139615780117,0.0778812703146304,-0.0778812703146303,"ENSG00000080822","CLDND1"
"CNDP1",-0.0317234548077945,0.0317234548077944,0.975071762060715,0.975071762060715,0.99497118577624,0.99497118577624,-0.00735314370251425,0.00735314370251423,"ENSG00000150656","CNDP1"
"CNN3",-1.06188976908772,1.06188976908772,0.303525746106327,0.303525746106327,0.800139615780116,0.800139615780117,-0.125446977026334,0.125446977026334,"ENSG00000117519","CNN3"
"CNP",0.105303837266739,-0.105303837266737,0.917399577443718,0.91739957744372,0.981471893822551,0.981471893822551,0.010571020953747,-0.0105710209537468,"ENSG00000173786","CNP"
"COMT",-0.549008556768372,0.549008556768372,0.590325444587897,0.590325444587897,0.859197391399379,0.85919739139938,-0.0477232451519857,0.0477232451519857,"ENSG00000093010","COMT"
"CORT",0.996520657636633,-0.996520657636633,0.333335090374034,0.333335090374034,0.800139615780116,0.800139615780117,0.119093045035766,-0.119093045035766,"ENSG00000241563","CORT"
"COX5A",1.92400969478544,-1.92400969478544,0.0717129569519249,0.0717129569519249,0.62353320550135,0.623533205501349,0.252937694524675,-0.252937694524675,"ENSG00000178741","COX5A"
"CRHBP",0.601760642516985,-0.601760642516985,0.555482368756979,0.555482368756979,0.858993353747905,0.858993353747906,0.0791654787767521,-0.0791654787767521,"ENSG00000145708","CRHBP"
